,LTV_M,Purpose_M,Coop_M,Product_M,Occup_M,Back_M,BoCreditScor_M,PropType_M,Year,Bank,MortDate,Assigned_ID,Portfolio_Worthy
101,0.13,1.0,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092203,1
102,0.13,1.61,1.0,0.879,1.0,2.345,4.81,1.0,2017,Atlanta,2016,2092204,1
103,0.13,1.0,1.0,0.879,1.0,1.431,1.76,1.0,2017,Atlanta,2017,2092205,1
104,0.13,1.0,1.0,0.879,1.0,2.02,0.743,1.0,2017,Atlanta,2017,2092206,1
105,0.13,1.0,1.0,0.879,1.0,2.345,7.426,1.0,2017,Atlanta,2016,2092207,1
106,0.13,1.0,1.0,0.879,1.0,2.345,2.85,1.0,2017,Atlanta,2016,2092208,1
107,0.13,1.0,1.0,0.879,1.0,2.345,0.743,1.0,2017,Atlanta,2016,2092209,1
108,0.13,1.0,1.0,0.879,1.0,1.431,1.76,1.0,2017,Atlanta,2017,2092210,1
109,0.13,1.0,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2017,2092211,1
110,0.13,1.0,1.0,0.879,1.0,2.019,0.743,1.0,2017,Atlanta,2017,2092212,1
111,0.13,1.61,1.0,0.879,1.0,2.345,2.85,1.0,2017,Atlanta,2017,2092213,1
112,0.13,1.0,1.0,0.879,1.0,2.345,2.85,1.146,2017,Atlanta,2017,2092214,1
113,0.13,1.0,1.0,0.879,1.0,2.345,4.81,1.0,2017,Atlanta,2016,2092215,1
114,0.13,1.0,1.0,0.879,1.0,2.345,4.81,1.0,2017,Atlanta,2017,2092216,1
115,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2016,2092217,1
116,0.13,1.0,1.0,0.879,1.0,2.02,7.426,1.0,2017,Atlanta,2017,2092218,1
117,0.13,1.0,1.0,0.879,1.0,2.019,7.426,1.0,2017,Atlanta,2016,2092219,1
